,accuracy,precision,recall,f1,macro_f1,false_alarm_rate,roc_auc,pr_auc,tn,fp,fn,tp
Logistic regression,0.9007,0.7260,0.5799,0.6448,0.7935,0.0403,0.7618,0.6804,22681.0000,952.0000,1828.0000,2523.0000
Random forest,0.8839,0.6371,0.5884,0.6118,0.7718,0.0617,0.9038,0.7250,22175.0000,1458.0000,1791.0000,2560.0000
Gradient boosting,0.8832,0.6316,0.5973,0.6140,0.7726,0.0641,0.8203,0.6889,22117.0000,1516.0000,1752.0000,2599.0000
Always Normal (baseline),0.8445,,0.0000,,0.4579,0.0000,0.5000,0.1555,23633.0000,0.0000,4351.0000,0.0000
